transaction_id,transaction_date,description,category,transaction_type,amount,payment_method
1.0,2024-06-09,Pembelian,Piutang,Pemasukan,595193.0,Kartu Debit
2.0,2025-01-13,Pmbayaran pelanggan,Piutang,Pemasukan,2104366.0,Transfer Bank
3.0,2025-12-04,Pembayaran cicilan,Utang & Cicilan,Pengeluaran,1435766.0,Kartu Debit
4.0,2025-04-30,Pendanaan usaha,Modal & Investasi,Pemasukan,5539125.0,E-Wallet
5.0,2025-02-12,Refun,Penjualan,Pemasukan,2310919.0,Kartu Debit
6.0,2024-09-19,Pendapatan online,Penjualan,Pemasukan,355364.0,Kartu Kredit
7.0,2025-02-25,Transfer masuk,Piutang,Pemasukan,771225.0,E-Wallet
8.0,2026-02-06,Pengiriman,Transportasi & Logistik,Pengeluaran,1281768.0,Transfer Bank
9.0,2025-09-26,Pendanaan usaha,Modal & Investasi,Pemasukan,5175389.0,Transfer Bank
10.0,2025-10-17,Pembayaran pelanggan,Piutang,Pemasukan,1616565.0,Kartu Debit
11.0,2025-03-05,Transfer modal,Modal & Investasi,Pemasukan,18630124.0,Kartu Kredit
12.0,2025-05-18,Marketplace,Penjualan,Pemasukan,452854.0,E-Wallet
13.0,2026-01-27,Transfer masuk,Piutang,Pemasukan,3324821.0,Kartu Debit
14.0,2026-03-28,Pendanaan usaha,Modal & Investasi,Pemasukan,10367966.0,Tunai
15.0,2025-05-02,Pelunasan,Piutang,Pemasukan,704352.0,Transfer Bank
16.0,2025-07-06,Transfer,Piutang,Pemasukan,886438.0,Kartu Debit
17.0,2025-06-07,Pembayaran pelanggan,Piutang,Pemasukan,2487674.0,Tunai
18.0,2025-10-27,Pmbayaran cicilan,Utang & Cicilan,Pengeluaran,1712433.0,Transfer Bank
19.0,2025-09-29,Refund,Piutang,Pemasukan,6459797.0,Transfer Bank
20.0,2026-01-24,Pmbayaran pelanggan,Piutang,Pemasukan,3805264.0,Kartu Kredit
21.0,2025-06-22,Transfer masuk,Piutang,Pemasukan,4826023.0,Kartu Kredit
22.0,2024-09-14,Pendapatan usaha,Penjualan,Pemasukan,2624592.0,Kartu Kredit
23.0,2025-06-19,Pembayaran digital,Modal & Investasi,Pemasukan,22690625.0,Payment Gateway
24.0,2026-02-11,QRIS,Piutang,Pemasukan,6617184.0,Kartu Debit
25.0,2025-06-13,Campaign,Marketing & Promosi,Pengeluaran,1363078.0,Transfer Bank
26.0,2026-02-07,Transfer masuk,Piutang,Pemasukan,5818922.0,E-Wallet
27.0,2026-04-27,Payment gateway,Penjualan,Pemasukan,1289335.0,Kartu Kredit
28.0,2026-03-01,Pembayaran pelanggan,Piutang,Pemasukan,1608310.0,Payment Gateway
29.0,2024-09-18,Pendapatan usaha,Penjualan,Pemasukan,7466145.0,Kartu Debit
30.0,2025-04-25,Pendanaan usaha,Modal & Investasi,Pemasukan,3597198.0,Kartu Debit
31.0,2025-10-01,Transfer modal,Modal & Investasi,Pemasukan,20253980.0,Transfer Bank
32.0,2026-03-26,Penjualan,Penjualan,Pemasukan,1564381.0,Payment Gateway
