transaction_id,transaction_date,description,category,transaction_type,amount,payment_method
1.0,2026-04-15,Bensin,Transportasi,Pengeluaran,6024.0,Tunai
2.0,2024-11-24,THR,Gaji,Pemasukan,6755121.0,E-Wallet
3.0,2025-05-24,Restoran,Makanan & Minuman,Pengeluaran,40610.0,Kartu Debit
4.0,2025-06-08,Wifi rumah,Pulsa & Internet,Pengeluaran,274540.0,Kartu Debit
5.0,2024-11-26,Subscription,Pembayaran Langganan,Pengeluaran,16504.0,E-Wallet
6.0,2024-11-26,Bensin,Transportasi,Pengeluaran,15615.0,Kartu Debit
7.0,2025-03-27,Netflix,Pulsa & Internet,Pengeluaran,63536.0,Kartu Kredit
8.0,2024-12-14,Cloud storage,Pembayaran Langganan,Pengeluaran,155863.0,Tunai
9.0,2024-07-26,Iuran lingkungan,Tempat Tinggal,Pengeluaran,699936.0,Tunai
10.0,2025-12-20,Netflix,Pulsa & Internet,Pengeluaran,191608.0,Kartu Debit
11.0,2024-06-22,Bayar teman,Transfer Teman/Keluarga,Pengeluaran,169952.0,Transfer Bank
12.0,2025-01-08,Grab,Transportasi,Pengeluaran,48816.0,Kartu Debit
13.0,2025-08-13,Patungan,Transfer Teman/Keluarga,Pengeluaran,50772.0,Transfer Bank
14.0,2025-10-24,Tagihan internet,Pulsa & Internet,Pengeluaran,107874.0,Transfer Bank
15.0,2025-02-03,Bonus,Gaji,Pemasukan,7090773.0,Tunai
16.0,2026-03-05,,Tempat Tinggal,Pengeluaran,892842.0,Tunai
17.0,2024-08-09,Kirim uang,Transfer Teman/Keluarga,Pengeluaran,28221.0,E-Wallet
18.0,2026-04-21,Game online,Hiburan,Pengeluaran,59641.0,Kartu Debit
19.0,2025-05-30,Paket data,Pulsa & Internet,Pengeluaran,68867.0,Tunai
20.0,2025-03-08,THR,Gaji,Pemasukan,6191934.0,E-Wallet
21.0,2024-10-28,Bayar teman,Transfer Teman/Keluarga,Pengeluaran,493963.0,E-Wallet
22.0,2024-08-08,Game online,Hiburan,Pengeluaran,189452.0,
23.0,2025-06-15,GoFood,Makanan & Minuman,Pengeluaran,56625.0,Kartu Debit
24.0,2025-05-20,MRT,Transportasi,Pengeluaran,49049.0,Kartu Debit
25.0,2025-02-28,Paket data,Pulsa & Internet,Pengeluaran,133391.0,Kartu Kredit
26.0,2025-06-08,GrabbFood,Makanan & Minuman,Pengeluaran,55931.0,E-Wallet
27.0,2025-03-01,Trf,Hiburan,Pengeluaran,493072.0,Kartu Kredit
28.0,2025-05-25,MRT,Transportasi,Pengeluaran,32137.0,Tunai
29.0,2025-03-13,Lazada,Belanja Bulanan,Pengeluaran,391309.0,Kartu Debit
30.0,2025-03-24,Tagihan internet,Pulsa & Internet,Pengeluaran,88039.0,Transfer Bank
31.0,2025-06-29,Trf,Transfer Teman/Keluarga,Pengeluaran,497117.0,Kartu Debit
32.0,2024-09-05,Transfer,Pulsa & Internet,Pengeluaran,79269.0,Kartu Debit
33.0,2024-08-15,Bayar kos,Tempat Tinggal,Pengeluaran,2403699.0,E-Wallet
34.0,2026-01-03,Beli pakaian,Belanja Bulanan,Pengeluaran,191832.0,Transfer Bank
35.0,2024-09-12,Patungan,Transfer Teman/Keluarga,Pengeluaran,144692.0,Kartu Debit
36.0,2024-11-12,Membership,Pembayaran Langganan,Pengeluaran,100340.0,E-Wallet
37.0,2025-11-24,Gaji bulanan,Gaji,Pemasukan,6504090.0,Kartu Debit
38.0,2026-01-28,Paket data,Pulsa & Internet,Pengeluaran,90616.0,Tunai
39.0,2026-03-14,Konser,Hiburan,Pengeluaran,88176.0,Kartu Kredit
40.0,2025-10-27,Bensin,Transportasi,Pengeluaran,19675.0,Transfer Bank
41.0,2024-06-07,Gaji bulanan,Gaji,Pemasukan,6485159.0,Kartu Debit
,2024-10-21,Ngopi,Makanan & Minuman,Pengeluaran,16529.0,Tunai
43.0,2024-12-01,Bayar teman,Transfer Teman/Keluarga,Pengeluaran,151122.0,Kartu Debit
44.0,2025-07-24,Kirim uang,Transfer Teman/Keluarga,Pemasukan,309663.0,Kartu Debit
45.0,2026-05-11,Tagihan,Makanan & Minuman,Pengeluaran,56796.0,Kartu Debit
46.0,2024-10-13,Shopee,Belanja Bulanan,Pengeluaran,162155.0,E-Wallet
47.0,2024-12-11,KRL,Transportasi,Pengeluaran,16452.0,E-Wallet
48.0,2025-04-08,Pulsa,Pulsa & Internet,Pengeluaran,155360.0,Tunai
49.0,2026-04-15,Air,Tempat Tinggal,Pengeluaran,602365.0,Tunai
50.0,2025-10-24,Gym membership,Pembayaran Langganan,Pengeluaran,86022.0,E-Wallet
51.0,2025-10-01,Bensin,Transportasi,Pengeluaran,10000.0,Kartu Debit
52.0,2025-10-16,Grab,Transportasi,Pengeluaran,26351.0,Transfer Bank
53.0,2026-05-23,Tol,Transportasi,Pengeluaran,12693.0,Transfer Bank
54.0,2026-05-07,Liburan,Hiburan,Pengeluaran,78791.0,E-Wallet
55.0,2025-09-02,Game online,Hiburan,Pengeluaran,240455.0,Kartu Debit
56.0,2025-05-29,KRL,Transportasi,Pengeluaran,30377.0,Kartu Debit
57.0,2026-02-02,Listrik,Tempat Tinggal,Pengeluaran,1608424.0,Transfer Bank
58.0,2025-09-08,Tagihan,Transfer Teman/Keluarga,Pemasukan,285614.0,Tunai
59.0,2025-10-08,Beli pakaian,Belanja Bulanan,Pengeluaran,299100.0,Transfer Bank
,2025-11-29,Cloud storage,Pembayaran Langganan,Pengeluaran,130489.0,E-Wallet
61.0,2025-01-27,Marketplace,Belanja Bulanan,Pengeluaran,55574.0,Kartu Debit
62.0,2025-03-02,Bioskop,Hiburan,Pengeluaran,58347.0,E-Wallet
63.0,2025-03-13,Listrik,Tempat Tinggal,Pengeluaran,567392.0,E-Wallet
64.0,2026-03-26,Gym membership,Pembayaran Langganan,Pengeluaran,67941.0,Kartu Debit
65.0,2024-09-27,Marketplace,Belanja Bulanan,Pengeluaran,175068.0,
66.0,2026-03-20,Bonus,Gaji,Pemasukan,7202938.0,
67.0,2024-06-28,Cafe,Makanan & Minuman,Pengeluaran,98760.0,Kartu Kredit
68.0,2026-05-07,Spotify,Hiburan,Pengeluaran,36883.0,E-Wallet
69.0,2024-06-25,Netflix,Pulsa & Internet,Pengeluaran,96358.0,Tunai
70.0,2025-07-21,Subscription,Hiburan,Pengeluaran,112552.0,Transfer Bank
71.0,2024-09-04,THR,Gaji,Pemasukan,6628180.0,Transfer Bank
72.0,2024-09-09,Service AC,Tempat Tinggal,Pengeluaran,1111392.0,Kartu Debit
73.0,2024-07-20,Tagihan,Pulsa & Internet,Pengeluaran,86314.0,Kartu Kredit
74.0,2025-08-17,Bonus,Gaji,Pemasukan,7004059.0,Tunai
75.0,2024-06-24,Bayar kos,Tempat Tinggal,Pengeluaran,1290734.0,Transfer Bank
76.0,2024-06-04,Subscription,Pembayaran Langganan,Pengeluaran,168851.0,E-Wallet
77.0,2024-09-30,Gym membership,Pembayaran Langganan,Pengeluaran,123081.0,E-Wallet
78.0,2025-03-16,GoFood,Makanan & Minuman,Pengeluaran,68102.0,E-Wallet
79.0,2024-09-11,Patungan,Transfer Teman/Keluarga,Pemasukan,159414.0,Transfer Bank
80.0,2025-03-15,Marketplace,Belanja Bulanan,Pengeluaran,333927.0,E-Wallet
81.0,2025-07-09,Tagihan internet,Pulsa & Internet,Pengeluaran,74701.0,E-Wallet
82.0,2025-03-19,Transfer,Transfer Teman/Keluarga,Pemasukan,77115.0,Tunai
83.0,2025-11-18,Membership,Pembayaran Langganan,Pengeluaran,29953.0,Tunai
84.0,2026-04-03,MRT,Transportasi,Pengeluaran,10000.0,Tunai
85.0,2025-01-13,Transfer,Transfer Teman/Keluarga,Pengeluaran,192278.0,E-Wallet
86.0,2024-09-27,Bayar teman,Transfer Teman/Keluarga,Pengeluaran,259642.0,E-Wallet
87.0,2025-08-15,Membership,Pembayaran Langganan,Pengeluaran,55335.0,E-Wallet
88.0,2024-10-08,Spotify,Hiburan,Pengeluaran,101915.0,Kartu Kredit
89.0,2025-01-25,Kirim uang,Transfer Teman/Keluarga,Pengeluaran,152259.0,E-Wallet
90.0,2024-08-06,Bayar teman,Transfer Teman/Keluarga,Pemasukan,7312.0,E-Wallet
91.0,2025-02-06,Beli pakaian,Belanja Bulanan,Pengeluaran,-178657.0,Kartu Debit
92.0,2025-06-29,Tagihan,Transfer Teman/Keluarga,Pengeluaran,325748.0,Kartu Debit
93.0,2025-12-15,Minimarket,Makanan & Minuman,Pengeluaran,67315.0,Kartu Debit
94.0,2025-05-31,Membership,Pembayaran Langganan,Pengeluaran,225927.0,E-Wallet
95.0,2024-12-09,Wifi rumah,Pulsa & Internet,Pengeluaran,97157.0,Transfer Bank
96.0,2026-05-11,Gym membership,Pembayaran Langganan,Pengeluaran,247329.0,Kartu Debit
97.0,2025-09-20,Minimarket,Makanan & Minuman,Pengeluaran,65605.0,Kartu Debit
98.0,2024-12-23,Tagihan,Transfer Teman/Keluarga,Pengeluaran,316572.0,Kartu Kredit
99.0,2024-11-04,Service AC,Tempat Tinggal,Pengeluaran,1043658.0,Kartu Kredit
100.0,2025-04-18,Transfer,Transportasi,Pengeluaran,20421.0,E-Wallet
101.0,2025-02-14,MRT,Transportasi,Pengeluaran,7472.0,Kartu Debit
102.0,2024-11-04,Ngopi,Makanan & Minuman,Pengeluaran,66250.0,E-Wallet
103.0,2025-11-08,Bayar teman,Transfer Teman/Keluarga,Pengeluaran,251534.0,Tunai
104.0,2024-12-21,MRT,Transportasi,Pengeluaran,13865.0,Kartu Kredit
105.0,2025-07-22,Liburan,Hiburan,Pengeluaran,75378.0,E-Wallet
106.0,2024-12-16,Pulsa,Pulsa & Internet,Pengeluaran,127473.0,Kartu Debit
107.0,2025-08-22,Transfer,Transfer Teman/Keluarga,Pemasukan,269179.0,Transfer Bank
108.0,2025-12-06,Bayar kos,Tempat Tinggal,Pengeluaran,728391.0,Kartu Debit
109.0,2025-08-05,Transfer,Transfer Teman/Keluarga,Pengeluaran,281139.0,Tunai
110.0,2026-02-25,Kirim uang,Transfer Teman/Keluarga,Pengeluaran,156664.0,E-Wallet
111.0,2024-09-08,Liburan,Hiburan,Pengeluaran,76968.0,Transfer Bank
112.0,2024-05-31,Subscription,Pembayaran Langganan,Pengeluaran,82217.0,Kartu Debit
113.0,2026-05-12,Konser,Hiburan,Pengeluaran,182358.0,E-Wallet
114.0,2024-08-29,Marketplace,Transfer Teman/Keluarga,Pemasukan,10000.0,E-Wallet
115.0,2026-05-09,Bioskop,Hiburan,Pengeluaran,42007.0,Transfer Bank
116.0,2025-09-22,THR,Gaji,Pemasukan,7742287.0,E-Wallet
117.0,2025-12-23,Kirim uang,Transfer Teman/Keluarga,Pengeluaran,184072.0,Transfer Bank
118.0,2024-11-02,Makan malam,Makanan & Minuman,Pengeluaran,39536.0,Transfer Bank
119.0,2026-01-02,Service AC,Tempat Tinggal,Pengeluaran,1087285.0,Tunai
120.0,2026-01-25,Bayar teman,Transfer Teman/Keluarga,Pemasukan,209343.0,Transfer Bank
121.0,2025-11-07,THR,Gaji,Pemasukan,6009524.0,Kartu Kredit
122.0,2024-09-01,Tokopedia,Belanja Bulanan,Pengeluaran,66434.0,Kartu Debit
123.0,2024-10-07,Netflix,Hiburan,Pengeluaran,72204.0,E-Wallet
124.0,2026-03-18,Netfliix,Hiburan,Pengeluaran,33555.0,Kartu Kredit
125.0,2024-07-09,Game online,Hiburan,Pengeluaran,98108.0,Transfer Bank
126.0,2025-10-28,Marketplace,Transportasi,Pengeluaran,38870.0,Tunai
127.0,,Shopee,Belanja Bulanan,Pengeluaran,181428.0,Tunai
128.0,2024-05-27,Transfer,Belanja Bulanan,Pengeluaran,179344.0,Tunai
129.0,2025-04-03,Trf,Transfer Teman/Keluarga,Pemasukan,232319.0,Kartu Debit
130.0,2025-05-16,Wifi rumah,Pulsa & Internet,Pengeluaran,71262.0,E-Wallet
131.0,2024-10-17,Subscription,Pembayaran Langganan,Pengeluaran,107193.0,Kartu Debit
132.0,2026-02-27,Gaji bulanan,Gaji,Pemasukan,4797868.0,Tunai
133.0,2025-04-11,Tagihan,Transportasi,Pengeluaran,10177.0,Tunai
